Position,HeightInch,WeightLbs,Age
7,74,200,32.17
8,75,225,33.61
1,76,205,32.77
1,75,195,29.83
1,80,240,31.02
1,72,150,29.73
1,75,200,28.48
1,73,215,26.51
1,74,202,26
1,74,200,23.36
1,73,190,25.9
1,75,205,28.5
1,75,190,25.62
1,71,160,30.94
1,73,215,26.59
1,75,185,22.78
1,74,200,32.26
1,74,190,30.35
1,72,210,33.26
1,74,185,32.35
2,74,220,27.3
2,74,190,32.08
2,73,202,25.25
2,76,205,25.03
3,75,220,26.89
4,72,175,24.69
5,73,160,22.44
5,73,190,30.36
6,73,200,26.27
7,72,229,29.5
7,72,206,29.75
7,72,220,38.3
7,72,180,39.75
7,71,195,32.84
7,75,175,26.66
8,77,250,26.6
1,75,188,24.94
1,74,230,27.76
1,73,190,23.66
1,75,200,24.96
1,79,190,23.65
1,74,219,29.42
1,76,235,32.18
1,73,180,26.66
1,74,180,27.47
1,74,180,25.66
1,72,200,35.13
1,74,234,31.15
1,74,185,35.67
1,75,220,29.6
1,78,223,30.14
1,74,200,24.53
1,74,210,24.49
1,74,200,26.28
1,77,210,24.06
2,70,190,35.88
2,73,177,30.42
3,74,227,30.09
4,73,180,26.5
4,71,195,24.94
4,75,199,29.6
5,71,175,32.43
5,72,185,37.16
6,77,240,30.57
6,74,210,27.01
7,70,180,30.23
7,77,194,26.03
7,73,225,28.23
8,77,275,38.76
8,74,195,23.62
1,72,180,25.21
1,76,205,25.45
1,71,193,26.24
1,76,230,30.15
1,78,230,29.8
1,75,220,33.41
1,73,200,30.95
1,78,249,31.17
1,74,190,30.95
1,79,208,29.44
1,75,245,27.14
1,76,250,26.21
1,72,160,24.08
1,75,192,23.96
1,75,220,24.94
1,70,170,29.56
1,72,197,26.42
1,70,155,23.92
1,74,190,25.23
2,71,200,35.82
2,76,220,23.87
2,73,210,32.57
3,76,228,25.79
4,71,190,31.47
4,69,160,22.61
4,72,184,24.85
5,72,180,27.33
6,69,180,26.67
6,73,200,37.43
6,69,176,29.31
7,73,160,29.85
7,74,222,27.93
7,74,211,31.62
7,72,195,30.55
7,71,200,24.77
8,74,210,28.38
8,73,225,35.02
1,72,175,33.77
1,72,206,27.97
1,76,240,27.85
1,76,185,23.26
1,76,260,25.38
1,74,185,23.35
1,76,221,25.45
1,75,205,26.49
1,71,200,24
1,72,170,24.16
1,71,201,28.1
1,73,205,25.65
1,75,185,28.58
1,76,205,32.27
1,75,245,29.86
2,71,220,25.14
2,75,210,23.03
3,74,220,30.25
4,72,185,30.67
4,73,175,27.73
4,73,170,23.34
5,73,180,25.94
5,73,200,31.56
6,76,210,34.85
6,72,175,23.98
7,76,220,23.14
7,73,206,28.99
7,73,180,25.02
7,73,210,29.85
7,75,195,27.03
7,75,200,25.15
7,77,200,27.12
1,73,164,31.63
1,72,180,32.62
1,75,220,39.79
1,70,195,34.47
1,74,205,23.47
1,72,170,25.31
1,80,240,27.1
1,71,210,24.35
1,71,195,23.45
1,74,200,28.24
1,74,205,28.77
1,73,192,26.53
1,75,190,25.64
1,76,170,25.83
1,73,240,38.06
1,77,200,36.38
1,72,205,25.27
1,73,175,27.2
1,77,250,31.59
1,76,220,29.56
2,71,224,35.5
2,75,210,30.35
2,73,195,24.11
3,74,180,23.29
3,77,245,31.48
4,71,175,27.23
5,72,180,24.07
6,73,215,28.68
6,69,175,27.05
7,73,180,31.15
7,70,195,31.85
7,74,230,31.68
7,76,230,34.23
7,73,205,32.01
7,73,215,25.41
7,75,195,24.73
7,73,180,25.66
1,79,205,24.5
1,74,180,24.38
1,73,190,26.89
1,74,180,24.2
1,77,190,26.97
1,75,190,25.21
1,74,220,30.46
1,73,210,28.53
1,77,255,25.75
1,73,190,31.15
1,77,230,26.48
1,74,200,26.93
1,74,205,29.55
1,73,210,34.75
1,77,225,29.71
1,74,215,29.83
1,77,220,33.57
1,75,205,28.21
1,77,200,27.54
2,75,220,26.05
2,71,197,23.64
3,74,225,24.82
3,70,187,29.8
3,79,245,34.71
4,72,185,29.22
5,72,185,23.96
5,70,175,23.87
6,74,200,26.77
7,74,180,23.49
7,72,188,26.77
7,73,225,24.51
7,72,200,33.23
7,74,210,31.04
1,74,245,32.02
1,76,213,31.44
1,82,231,43.47
1,74,165,28.38
1,74,228,27.81
1,70,210,24.57
1,73,250,23.34
1,73,191,27.09
1,74,190,25.14
1,77,200,27.07
1,72,215,24.02
1,76,254,27.6
1,73,232,27.99
1,73,180,27.56
2,72,215,28.63
2,74,220,30.99
3,74,180,26.33
4,71,200,26.97
5,72,170,22.85
5,75,195,23.19
6,74,210,23.87
6,74,200,33.98
7,77,220,28.26
7,70,165,29.12
7,71,180,26.18
7,73,200,28.03
7,76,200,23.08
7,71,170,26.24
7,75,224,26.63
1,74,220,24.21
1,72,180,23.01
1,76,198,23.13
1,79,240,23.08
1,76,239,25.13
1,73,185,24.66
1,76,210,26.03
1,78,220,28.7
1,75,200,25.57
1,76,195,24.65
1,72,220,25.55
1,72,230,22.27
1,73,170,24.76
1,73,220,23.98
1,75,230,27.85
1,71,165,22.14
1,76,205,27.05
2,70,192,31.45
2,75,210,32.03
2,74,205,29.95
3,75,200,23.47
3,73,210,37.21
4,71,185,25.67
5,71,195,34.69
5,72,202,30.04
6,73,205,32.52
6,73,195,24.15
6,72,180,26.86
7,69,200,27.94
7,73,185,26.63
7,78,240,27.31
7,71,185,30.55
7,73,220,40.68
7,75,205,37.27
7,76,205,25.78
7,70,180,30.98
1,74,201,28.41
1,77,190,30.01
1,75,208,31.57
1,79,240,28.81
1,72,,27.77
1,72,180,24.09
1,77,230,26.47
1,73,195,30.5
1,75,215,23.74
1,75,190,24.49
1,75,195,26.73
1,73,215,27.01
1,73,215,39.75
1,76,220,27.16
1,77,220,25.74
1,75,230,37.43
1,70,195,39.85
2,71,190,28.62
2,71,195,23.9
2,75,209,25.18
3,74,204,33.53
4,69,170,33.03
4,70,185,31.35
5,75,205,22.39
5,72,175,27.99
6,75,210,27.22
7,73,190,27.49
7,72,180,27.53
7,72,180,26.26
7,72,160,25.18
7,76,235,27.12
7,75,200,27.69
7,74,210,25.69
8,75,224,36.32
1,69,180,28.11
1,73,190,31.21
1,72,197,30.8
1,72,203,30.21
1,75,205,28.06
1,77,170,26.52
1,76,200,23.1
1,80,250,25.02
1,77,200,26.14
1,76,220,25.38
1,79,200,27.6
1,71,190,25.5
1,75,170,24.24
1,73,190,23.32
1,76,220,31.56
1,77,215,34.19
1,73,206,36.78
1,76,215,27.73
2,70,185,34.88
2,75,235,31
3,73,188,48.52
3,75,230,34.68
4,70,195,37.38
4,69,168,24.33
5,71,190,37.3
5,72,160,23.72
6,72,200,24.19
7,73,200,25.7
7,70,189,29.06
7,70,180,33.48
7,73,190,29.85
7,76,200,34.3
7,75,220,40.66
7,72,187,21.9
1,73,240,27.39
1,79,190,23.13
1,71,180,35.35
1,72,185,40.93
1,74,210,33.67
1,74,220,37.39
1,74,219,27.97
1,72,190,25.54
1,76,193,25.81
1,76,175,22.53
1,72,180,22.86
1,72,215,24.07
1,71,210,29.5
1,72,200,30.03
1,72,190,27.38
1,70,185,30.51
1,77,220,28.3
1,74,170,29.84
1,72,195,33.41
1,76,205,33.6
1,71,195,35.6
1,76,210,24.19
2,71,190,37.88
2,73,190,27.56
2,70,180,24.42
3,73,220,31.05
3,73,190,31.56
4,72,186,35.55
4,71,185,41.21
4,71,190,27.12
4,71,180,26.97
4,72,190,28.92
5,72,170,30.06
6,74,210,31.51
7,74,240,30.69
7,74,220,30.19
7,71,180,38.11
7,72,210,28.68
7,75,210,27.44
1,72,195,24.63
1,71,160,28.11
1,72,180,28.9
1,72,205,24.11
1,72,200,40.53
1,72,185,29.5
1,74,245,28.62
1,74,190,26.42
1,77,210,30.18
1,75,200,33.75
1,73,200,30.06
1,75,222,29.22
1,73,215,24.47
1,76,240,24.94
1,72,170,28.77
1,77,220,28.54
1,75,156,27.32
2,72,190,35.12
2,71,202,24.04
3,71,221,36.39
3,75,200,22.81
3,72,190,33.6
4,73,210,38.98
4,73,190,34.39
4,71,200,33.15
5,70,165,29.35
6,75,190,26.59
6,71,185,23.46
7,76,230,22.43
7,73,208,24.89
7,68,209,24.67
7,71,175,26.17
7,72,180,29.54
7,74,200,39.49
1,77,205,34.08
1,72,200,30.52
1,76,250,28.77
1,78,210,33.75
1,81,230,32.69
1,72,244,22.59
1,73,202,37.04
1,76,240,22.7
1,72,200,25.6
1,72,215,27.23
1,74,177,25.74
1,76,210,30.29
1,73,170,26.72
1,76,215,33.9
1,75,217,29.86
1,70,198,36.13
2,71,200,27.54
2,74,220,31.49
2,72,170,28.1
2,73,200,34.07
3,76,230,27.28
3,76,231,30.8
4,73,183,28.2
4,71,192,27.9
5,68,167,28.26
6,71,190,30.96
7,71,180,24.18
7,74,180,27.52
7,77,215,27.78
7,69,160,26.25
7,72,205,29.5
7,76,223,30.39
8,73,205,28.66
1,75,175,23.18
1,76,170,25.81
1,75,190,23.01
1,76,240,31.72
1,72,175,44.28
1,74,230,36.91
1,76,223,26.54
1,74,196,29.27
1,72,167,30.51
1,75,195,31.28
1,78,190,26.51
1,77,250,34.87
1,70,190,39.28
1,72,190,28.56
1,79,190,27.82
1,74,170,25.94
1,71,160,28.53
1,68,150,22.11
1,77,225,27.71
2,75,220,37.38
2,71,209,30.67
2,72,210,30.48
2,70,176,27.12
3,72,260,22.81
4,72,195,24.46
4,73,190,34.73
5,72,184,36.53
5,74,180,24.53
5,72,195,27.17
6,72,195,26.9
6,75,219,33.67
7,72,225,29.14
7,73,212,32.61
7,74,202,33.87
7,72,185,24.41
7,78,200,24.94
7,75,209,27.36
7,72,200,26.33
7,74,195,25.72
1,75,228,28.7
1,75,210,28.53
1,76,190,26.07
1,74,212,27.31
1,74,190,23.26
1,73,218,28.62
1,74,220,32.16
1,71,190,38.43
1,74,235,31.81
1,75,210,29.1
1,76,200,31.28
1,74,188,29.17
1,76,210,25.89
1,76,235,26.13
1,73,188,29.13
2,75,215,28.92
2,75,216,26.01
3,74,220,24.81
4,68,180,28.79
4,72,185,33.77
5,75,200,33.85
5,71,210,27.36
7,70,220,26.01
7,72,185,29.95
7,73,231,28.12
7,72,210,32.87
7,75,195,31.2
7,74,200,34.14
7,70,205,36.11
8,73,200,25.6
1,76,200,26.31
1,71,190,27.5
1,82,250,27.77
1,72,185,40.88
1,73,180,25.75
1,74,170,31.41
1,71,180,30.84
1,75,208,30.57
1,77,235,39.79
1,72,215,39.38
1,74,244,29.42
1,72,220,26.19
1,73,185,23.74
1,78,230,26.03
1,77,190,28.59
1,73,200,26.77
1,73,180,27.21
1,73,190,24.87
2,73,196,30.26
2,73,180,22.34
3,76,230,26.2
3,75,224,28.45
4,70,160,27.63
5,73,178,25.93
5,72,205,28.94
5,73,185,26.8
6,75,210,22.42
7,74,180,27.26
7,73,190,28.38
7,73,200,25.23
7,76,257,28.16
7,73,190,28.48
7,75,220,26.78
7,70,165,25.24
1,77,205,27.45
1,72,200,29.05
1,77,208,29.08
1,74,185,25.84
1,75,215,25.4
1,75,170,26.54
1,75,235,22.73
1,75,210,28.53
1,72,170,25.37
1,74,180,25.35
1,71,170,26.43
1,76,190,25.43
1,71,150,29.23
1,75,230,30.22
1,76,203,32.3
1,83,260,28.42
1,75,246,25.24
1,74,186,29.13
1,76,210,24.63
1,72,198,24.95
2,72,210,28.06
2,75,215,25.86
3,75,180,27.32
3,72,200,25.91
3,77,245,26.63
4,73,200,25.95
5,72,192,29.17
6,70,192,29.19
7,74,200,28.44
7,72,192,26.36
7,74,205,28.29
7,72,190,29.45
7,71,186,25.34
7,70,170,26.86
7,71,197,26.36
1,76,219,27.39
1,74,200,25.84
1,76,220,25.08
1,74,207,23.87
1,74,225,24.68
1,74,207,24.64
1,75,212,29.19
1,75,225,28.84
1,71,170,25.33
1,71,190,24.45
1,74,210,28.32
1,77,230,32.34
1,71,210,34.97
1,74,200,32.04
1,75,238,23.49
1,77,234,26.09
1,76,222,26.41
1,74,200,26.55
1,76,190,24.62
1,72,170,28.49
2,71,220,32.61
2,72,223,28.06
3,75,210,28.08
3,73,215,37.34
4,68,196,35.25
4,72,175,24.77
5,69,175,39.85
6,73,189,35.49
6,73,205,31.84
7,75,210,26.67
7,70,180,34.75
7,70,180,28.91
7,74,197,32.73
7,75,220,35.72
7,74,228,42.6
7,74,190,26.22
1,73,204,21.85
1,74,165,24.28
1,75,216,22.41
1,77,220,32.56
1,73,208,32.74
1,74,210,26.39
1,76,215,28.8
1,74,195,28.2
1,75,200,26.52
1,73,215,34.52
1,76,229,34.32
1,78,240,26.98
1,75,207,28.86
1,73,205,24.96
1,77,208,25.3
1,74,185,27.06
1,72,190,25.44
1,74,170,25.53
2,72,208,34.87
2,71,225,24.63
3,73,190,27.99
3,75,225,27.12
4,73,185,31.14
4,67,180,30.21
5,67,165,32.11
6,76,240,31.91
6,74,220,34.44
7,73,212,36.68
7,70,163,37.66
7,75,215,30.98
7,70,175,27.07
7,72,205,29.11
7,77,210,25.82
1,79,205,25.5
1,78,208,29.57
1,74,215,25.37
1,75,180,33.99
1,75,200,29.86
1,78,230,31.84
1,76,211,38.31
1,75,230,34.48
1,69,190,36.88
1,75,220,32.34
1,72,180,31.58
1,75,205,28.89
1,73,190,25.08
1,74,180,25.73
1,75,205,25.19
1,75,190,31.01
1,73,195,27.92
